id	A375R_RPL10a_vivo__Ronly_vehicle_rep1	A375R_RPL10a_vivo__Ronly_vehicle_rep2	A375R_RPL10a_vivo__Ronly_vehicle_rep3	A375R_RPL10a_vivo__SR_vehicle_rep1	A375R_RPL10a_vivo__SR_vehicle_rep2	A375R_RPL10a_vivo__SR_vehicle_rep3	A375R_RPL10a_vivo__Ronly_vem10d_rep1	A375R_RPL10a_vivo__Ronly_vem10d_rep2	A375R_RPL10a_vivo__Ronly_vem10d_rep3	A375R_RPL10a_vivo__SR_vem10d_rep1	A375R_RPL10a_vivo__SR_vem10d_rep2	A375R_RPL10a_vivo__SR_vem10d_rep3
117	ABT1	1647.967635	1640.568241	1496.599939	1381.443011	1499.059957	1333.550958	1917.241378	1799.582303	1555.624664	1487.712215	1351.867962	1411.758067
118	ABTB1	989.0043377	748.8479659	773.3227392	652.019246	727.4322818	813.6772005	925.8044349	966.563406	896.7859325	719.1014853	791.5618363	734.6997588
119	ABTB2	277.4582305	368.6762464	322.9128849	317.8138503	230.5327264	354.4993641	292.6437705	243.7420763	285.7757838	338.4484417	296.8356886	281.8026472
120	ACAA1	747.3471692	716.0037568	706.5953534	664.7682256	683.2368887	833.9091742	811.5266564	719.085819	748.517325	784.0316419	968.7428287	798.745815
121	ACAA2	2414.334119	2173.465533	2384.312482	1730.218669	1975.653521	2163.941528	2930.298441	2548.552208	2489.477749	2611.815553	3288.203093	2654.251557
122	ACACA	709.3085409	738.1735979	734.001244	1044.505691	980.6599398	862.9376581	904.9564618	904.9274787	908.7430783	986.1267546	874.3997029	832.5987304
123	ACACB	60.41429212	52.55073445	90.55859504	146.6132662	50.16774357	64.21452502	82.61974523	69.10694883	58.59001426	95.77198111	65.57997772	74.11043644
124	ACAD10	248.3698676	220.8773057	206.1399598	246.7838207	229.3382563	219.0331059	264.846473	262.41963	304.9072171	264.5903885	254.2662294	271.7382669
125	ACAD11	35.801062	36.94973516	23.83120922	35.51501479	11.94470085	35.1860411	34.74662183	43.89225129	33.48000815	21.91392788	27.6126222	35.68280273
126	ACAD8	309.9029429	316.1255119	293.1238734	279.5669113	304.5898717	335.1470415	358.2762784	375.4188302	376.6500917	340.8833226	301.4377923	347.6785907
127	ACAD9	743.9908197	660.9897067	601.7380328	583.7211406	640.2359656	657.9789686	931.9816121	921.737277	724.6030335	673.6503756	838.7333992	688.0376321
128	ACADL	8.9502655	8.211052257	7.149362766	7.28513124	11.94470085	7.037208221	11.58220728	11.20653224	13.15286034	13.7976583	6.903155549	8.234492938
129	ACADM	931.9463952	973.0096925	990.1867431	1044.505691	1193.275615	1015.996937	1331.953837	1189.760173	1065.381688	1108.682425	1075.74174	1010.0978
130	ACADS	120.8285842	94.42710096	106.048881	113.8301756	91.97419655	122.2714928	106.5563069	155.023696	118.3757431	116.874282	133.4610073	190.3082812
131	ACADSB	173.4113941	153.5466772	195.4159156	177.575074	187.5318034	185.6063668	222.3783797	215.7257457	179.3571865	229.6904293	192.1378295	189.3933376
132	ACADVL	4786.154476	4179.425599	4296.767022	4362.882971	3567.882144	4466.867918	5575.674583	5404.350174	4645.351131	5648.112004	4656.178418	5518.025212
133	ACAN	0	0	0	0	0	0	0	0	0	0.811626959	0	0.91494366
134	ACAP1	81.67117268	63.22510238	101.2826392	50.99591868	54.94562391	61.57557193	54.05030062	65.37143809	50.22001222	59.24876797	75.93471104	67.70583082
135	ACAP2	502.3336512	397.4149293	532.6275261	410.6992736	453.8986323	450.3813261	402.288666	457.6000666	509.3744097	366.0437583	344.0072515	419.9591398
136	ACAP3	503.4524344	507.4430295	552.8840539	512.691111	424.0368802	452.1406282	577.5660695	541.6490584	567.9644239	573.0086327	484.3714144	527.007548
